variable,mean,median,sd,mad,q5,q95,q2.5,q16.7,q83.3,q97.5,Sp,Sex
b_Intercept,2.206510654762863,2.19978354090971,0.9122200607116565,0.9017217787032437,0.7212326489028509,3.6902979239340445,0.4635266731835802,1.3230455489936102,3.0744586231129998,4.032126315617152,Aglais urticae,male
b_YearRescale,0.013849080780706454,0.013821274087727077,0.047375394426487465,0.04830713275584832,-0.06445682115582657,0.08987801273967762,-0.07998951621005841,-0.03162148340210799,0.06050854011346137,0.1036239110589447,Aglais urticae,male
b_Temp,0.013377247721457416,0.01334627436228273,0.007970697002522684,0.007889936769794065,1.5669848707273212e-4,0.026446754959162714,-0.0025382893364208213,0.005646134703523337,0.021184930842829307,0.028702567626925277,Aglais urticae,male
b_Latitude,0.013620635694164829,0.01375857711166632,0.016311838824064603,0.016121901984230948,-0.013381614726959758,0.04047201620299139,-0.019640530707342455,-0.0018556620579776243,0.029224901251987602,0.04545524774926447,Aglais urticae,male
sigma,0.0765126234523079,0.07606232256735823,0.00665108684627008,0.006429504802437331,0.06631141216259144,0.08835715444674812,0.06449933772480915,0.07012726094662836,0.0827416102422167,0.09094345155719634,Aglais urticae,male
Intercept,3.0820435001894664,3.0818602819737895,0.008856170003532152,0.008635394295721369,3.0677286212114088,3.0969031612039992,3.0648945955167664,3.0737892842398513,3.0905092106671677,3.099609473232281,Aglais urticae,male
lprior,-3.1418838002430207,-3.14187063148508,1.1704036051618336e-4,1.0998691189318234e-4,-3.1420943279928943,-3.141710771876064,-3.1421498100356615,-3.1419913270548996,-3.141774306238435,-3.141688433032075,Aglais urticae,male
lp__,82.41547255471964,82.7070699007059,1.5636866172539725,1.4102227262715263,79.44859282622602,84.35725102983034,78.53944400152213,81.00938633337026,83.85004835034626,84.5444787845167,Aglais urticae,male
b_Intercept,3.2121557707072244,3.212691175984859,0.25860657423735867,0.2641117672983618,2.7914595295558478,3.6362941494458116,2.7103549120753825,2.95443405404296,3.465299134101433,3.709355525372568,Anthocharis cardamines,male
b_YearRescale,5.636998051909133e-4,4.3977607967146974e-4,0.011300000990793237,0.010927503790931142,-0.017985915840398815,0.019134468061882737,-0.022468203784817214,-0.009938155932246931,0.01127472861381309,0.02310994290666642,Anthocharis cardamines,male
b_Temp,-0.0035372943490152315,-0.003486952748793196,0.0019584250730089767,0.0020256150515659457,-0.00674264894531064,-3.6596095361572656e-4,-0.00736286360085839,-0.005460888831602286,-0.0016203138749168301,1.506627873394447e-4,Anthocharis cardamines,male
b_Latitude,-0.00424377498539257,-0.004223600853974023,0.004980422040685537,0.005090837525160587,-0.012426988967955067,0.0037654745771157896,-0.013810810491313065,-0.009151515537915269,7.078601624537155e-4,0.005408120679030511,Anthocharis cardamines,male
sigma,0.08200132185304719,0.0819482205162155,0.0020171678815709445,0.0020453461989984752,0.0787882884466017,0.08540776320926072,0.07818989201053321,0.0800239950425885,0.08400475637323278,0.08601858959570893,Anthocharis cardamines,male
Intercept,2.9372934183820814,2.9372441471243036,0.0027942794860883234,0.002952727080521838,2.9327174760806796,2.94195071868805,2.931875435969013,2.9345576282085024,2.940055998421421,2.9426178888457715,Anthocharis cardamines,male
lprior,-3.144752207299692,-3.1447499357932793,1.0246321919582958e-4,1.0406907667523568e-4,-3.144924451956112,-3.1445828643760936,-3.1449553347533454,-3.144852412061595,-3.144652288978339,-3.144556261193867,Anthocharis cardamines,male
lp__,913.6460586337066,913.9455601226233,1.5400039749639527,1.3792812942594799,910.6768230712643,915.5662500970045,909.953486021353,912.225828804838,915.0619534978684,915.7188366258287,Anthocharis cardamines,male
b_Intercept,3.5885958527607227,3.592695384605849,0.2294366609733422,0.22644715858057407,3.211060374083779,3.95479702615311,3.12271474976383,3.3680644229259937,3.8093586430923705,4.0347721824763525,Aphantopus hyperantus,male
b_YearRescale,0.0013785362871897332,0.0013739041963834386,0.011352957568976604,0.011305185003569458,-0.017252296411777522,0.020172470175638176,-0.020977419303413018,-0.009629264230609504,0.012170864364483853,0.023218559054407804,Aphantopus hyperantus,male
